#Detrending for the temperature dependent PSF, observed in BRITE photometry, done on 2016-03-21 15:16:1458569799.
#This file contains the corrected flux and the correction which has been applied in order to deduce it.
#The adopted technique is to:
#1. split the observations in smaller time bins, which have been selected according to the long term temperature variations and (possibly) too long gaps.
#2. perform 1D fits within each bin for flux vs xPOS and flux vs yPOS -- !!always both!! --.
#Now, on to the header for each columnn:
#----------------------------------------
#Column1: time measurements [d]
#Column2: original, uncorrected flux [adu]
#Column3: corrected flux [adu]
#Column4: derived correction, applied to the flux [adu]
#----------------------------------------
2.457057061326e+06 1.2824135e+05 1.2713064e+05 1.1107052e+03
2.457057061561e+06 1.2537613e+05 1.2567695e+05 -3.0081306e+02
2.457057061796e+06 1.2500888e+05 1.2598642e+05 -9.7753781e+02
2.457057062031e+06 1.2541898e+05 1.2648653e+05 -1.0675484e+03
2.457057062266e+06 1.2562257e+05 1.2643585e+05 -8.1327921e+02
2.457057062501e+06 1.2656467e+05 1.2651173e+05 5.2935405e+01
2.457057062737e+06 1.2689324e+05 1.2633831e+05 5.5492291e+02
2.457057062972e+06 1.2601704e+05 1.2642118e+05 -4.0414384e+02
2.457057063207e+06 1.2754624e+05 1.2698617e+05 5.6007743e+02
2.457057063442e+06 1.2640926e+05 1.2683079e+05 -4.2153883e+02
2.457057063677e+06 1.2502593e+05 1.2624239e+05 -1.2164642e+03
2.457057063912e+06 1.2696233e+05 1.2639971e+05 5.6261359e+02
2.457057064148e+06 1.2506762e+05 1.2624404e+05 -1.1764264e+03
2.457057064383e+06 1.2523049e+05 1.2632395e+05 -1.0934627e+03
2.457057064618e+06 1.2530168e+05 1.2627612e+05 -9.7444394e+02
2.457057064853e+06 1.2829108e+05 1.2711101e+05 1.1800776e+03
2.457057065088e+06 1.2664058e+05 1.2675788e+05 -1.1730370e+02
2.457057065323e+06 1.2736617e+05 1.2805915e+05 -6.9297959e+02
2.457057122804e+06 1.2738599e+05 1.2574015e+05 1.6458459e+03
2.457057123039e+06 1.2657889e+05 1.2683951e+05 -2.6061809e+02
2.457057123274e+06 1.2479583e+05 1.2613955e+05 -1.3437208e+03
2.457057123509e+06 1.2512649e+05 1.2647368e+05 -1.3471889e+03
2.457057123744e+06 1.2609750e+05 1.2634419e+05 -2.4669177e+02
2.457057123980e+06 1.2503007e+05 1.2627595e+05 -1.2458784e+03
2.457057124215e+06 1.2446925e+05 1.2630214e+05 -1.8328841e+03
2.457057124450e+06 1.2628800e+05 1.2682979e+05 -5.4179416e+02
2.457057124685e+06 1.2519901e+05 1.2661723e+05 -1.4182239e+03
2.457057124920e+06 1.2629253e+05 1.2660394e+05 -3.1140937e+02
2.457057125155e+06 1.2672295e+05 1.2713612e+05 -4.1316859e+02
2.457057125390e+06 1.2629195e+05 1.2634834e+05 -5.6389605e+01
2.457057125626e+06 1.2671968e+05 1.2611206e+05 6.0761802e+02
2.457057125861e+06 1.2694479e+05 1.2632936e+05 6.1542964e+02
2.457057126096e+06 1.2645584e+05 1.2627995e+05 1.7588301e+02
2.457057126331e+06 1.2582568e+05 1.2613990e+05 -3.1422182e+02
2.457057126566e+06 1.2628393e+05 1.2650236e+05 -2.1843313e+02
2.457057126801e+06 1.2519335e+05 1.2649330e+05 -1.2999439e+03
2.457057127037e+06 1.2462744e+05 1.2601169e+05 -1.3842469e+03
2.457057127272e+06 1.2758654e+05 1.2646056e+05 1.1259895e+03
2.457057127507e+06 1.2564814e+05 1.2620403e+05 -5.5588325e+02
2.457057127742e+06 1.2654951e+05 1.2565462e+05 8.9489639e+02
2.457057127977e+06 1.2855308e+05 1.2666825e+05 1.8848239e+03
2.457057128212e+06 1.2744737e+05 1.2655634e+05 8.9103048e+02
2.457057128447e+06 1.2545526e+05 1.2642349e+05 -9.6822678e+02
2.457057128683e+06 1.2689382e+05 1.2640777e+05 4.8605074e+02
2.457057128918e+06 1.2622323e+05 1.2617754e+05 4.5688308e+01
2.457057129153e+06 1.2633767e+05 1.2593279e+05 4.0488073e+02
2.457057129388e+06 1.2723766e+05 1.2702077e+05 2.1688744e+02
2.457057129623e+06 1.2708061e+05 1.2651094e+05 5.6966855e+02
2.457057129858e+06 1.2684591e+05 1.2653545e+05 3.1046034e+02
2.457057130094e+06 1.2765601e+05 1.2634924e+05 1.3067710e+03
2.457057130329e+06 1.2658670e+05 1.2583441e+05 7.5228998e+02
2.457057130564e+06 1.2613037e+05 1.2656017e+05 -4.2980212e+02
2.457057130799e+06 1.2614396e+05 1.2628696e+05 -1.4299618e+02
2.457057131034e+06 1.2728302e+05 1.2651884e+05 7.6417610e+02
2.457057131269e+06 1.2592155e+05 1.2656462e+05 -6.4306517e+02
2.457057131504e+06 1.2799426e+05 1.2675324e+05 1.2410178e+03
2.457057131740e+06 1.2747460e+05 1.2657178e+05 9.0282177e+02
2.457057131975e+06 1.2670836e+05 1.2661209e+05 9.6272471e+01
2.457057132209e+06 1.2622427e+05 1.2659217e+05 -3.6790097e+02
2.457057132444e+06 1.2697063e+05 1.2673501e+05 2.3561889e+02
2.457057190161e+06 1.2623404e+05 1.2625441e+05 -2.0369497e+01
2.457057190395e+06 1.2608438e+05 1.2661916e+05 -5.3477999e+02
2.457057190630e+06 1.2531610e+05 1.2542193e+05 -1.0582600e+02
2.457057190865e+06 1.2665807e+05 1.2672549e+05 -6.7416540e+01
2.457057191101e+06 1.2650278e+05 1.2650144e+05 1.3453628e+00
2.457057191336e+06 1.2547387e+05 1.2642768e+05 -9.5381859e+02
2.457057191571e+06 1.2445068e+05 1.2591905e+05 -1.4683655e+03
2.457057191806e+06 1.2542049e+05 1.2534248e+05 7.8009090e+01
2.457057192041e+06 1.2547895e+05 1.2544322e+05 3.5732918e+01
2.457057192276e+06 1.2488264e+05 1.2610970e+05 -1.2270541e+03
2.457057192511e+06 1.2530756e+05 1.2598816e+05 -6.8059725e+02
2.457057192747e+06 1.2760652e+05 1.2650769e+05 1.0988305e+03
2.457057192982e+06 1.2621683e+05 1.2655079e+05 -3.3395945e+02
2.457057193217e+06 1.2652061e+05 1.2605405e+05 4.6656283e+02
2.457057193452e+06 1.2676311e+05 1.2604317e+05 7.1993529e+02
2.457057193687e+06 1.2576612e+05 1.2582569e+05 -5.9561062e+01
2.457057193922e+06 1.2548785e+05 1.2579080e+05 -3.0295594e+02
2.457057194158e+06 1.2481434e+05 1.2621511e+05 -1.4007739e+03
2.457057194393e+06 1.2503491e+05 1.2602361e+05 -9.8870719e+02
2.457057194628e+06 1.2438044e+05 1.2572738e+05 -1.3469433e+03
2.457057194863e+06 1.2500117e+05 1.2604886e+05 -1.0476931e+03
2.457057195098e+06 1.2695707e+05 1.2567721e+05 1.2798542e+03
2.457057195333e+06 1.2826899e+05 1.2613145e+05 2.1375428e+03
2.457057195569e+06 1.2770423e+05 1.2629687e+05 1.4073622e+03
2.457057195804e+06 1.2723239e+05 1.2647151e+05 7.6087830e+02
2.457057196039e+06 1.2580042e+05 1.2649582e+05 -6.9540596e+02
2.457057196274e+06 1.2519981e+05 1.2609910e+05 -8.9928939e+02
2.457057196509e+06 1.2567407e+05 1.2556252e+05 1.1155209e+02
2.457057196744e+06 1.2512430e+05 1.2561340e+05 -4.8910082e+02
2.457057196979e+06 1.2574087e+05 1.2619025e+05 -4.4937776e+02
2.457057197215e+06 1.2652399e+05 1.2634593e+05 1.7806186e+02
2.457057197450e+06 1.2614652e+05 1.2594917e+05 1.9735145e+02
2.457057197685e+06 1.2555317e+05 1.2606448e+05 -5.1131006e+02
2.457057197920e+06 1.2598025e+05 1.2629702e+05 -3.1676974e+02
2.457057198155e+06 1.2680082e+05 1.2648235e+05 3.1847061e+02
2.457057198390e+06 1.2483457e+05 1.2575299e+05 -9.1841950e+02
2.457057198625e+06 1.2696549e+05 1.2617611e+05 7.8937779e+02
2.457057198861e+06 1.2638760e+05 1.2587928e+05 5.0832667e+02
2.457057199096e+06 1.2499772e+05 1.2573886e+05 -7.4114550e+02
